amfi_code,Alpha,Beta,R_Squared,Rank
119598,0.3034,-0.0232,0.0001,1
149324,0.3006,0.0115,0.0,2
120505,0.2926,0.0005,0.0,3
148569,0.2827,0.0181,0.0002,4
120843,0.2733,-0.0228,0.0003,5
100033,0.272,0.0051,0.0,6
148567,0.2698,0.0237,0.0005,7
149323,0.266,-0.0025,0.0,8
119094,0.2608,-0.0663,0.0019,9
119551,0.232,-0.0318,0.0009,10
118632,0.2183,-0.0084,0.0001,11
101206,0.214,0.0211,0.0003,12
120504,0.2119,0.0162,0.0002,13
148568,0.2087,-0.0264,0.0005,14
119552,0.1987,-0.0262,0.0006,15
125497,0.1773,0.0488,0.0018,16
120503,0.177,-0.0403,0.0014,17
118634,0.175,0.1035,0.0028,18
102885,0.1705,-0.0195,0.0004,19
120506,0.1625,0.0419,0.0013,20
102887,0.1621,0.0167,0.0002,21
118633,0.1564,-0.0366,0.0011,22
118635,0.1514,-0.0014,0.0,23
149322,0.1317,-0.0041,0.0,24
120841,0.1304,0.0364,0.0012,25
125498,0.1199,0.0091,0.0,26
101207,0.109,-0.0653,0.0011,27
119093,0.0823,0.0259,0.0006,28
120842,0.078,0.0181,0.0002,29
119092,0.069,0.0097,0.0001,30
120507,0.0675,-0.0004,0.0001,31
120844,0.0646,-0.0004,0.0001,32
101208,0.0609,0.0003,0.0,33
119120,0.0562,-0.0064,0.0004,34
118636,0.0507,0.0013,0.0,35
119599,0.0488,0.062,0.001,36
119095,0.048,-0.067,0.0012,37
100025,0.0428,0.0012,0.0,38
100016,0.0375,-0.0583,0.0027,39
102886,0.029,-0.0421,0.0009,40
