amfi_code,Peak_Date,Trough_Date,Maximum_Drawdown (%),Rank
120507,2025-10-16,2025-10-20,-0.1,1
120844,2024-04-12,2024-04-30,-0.12,2
101208,2023-09-05,2023-09-12,-0.16,3
100025,2023-05-23,2023-07-28,-4.31,4
119120,2024-09-16,2025-04-01,-4.33,5
118636,2023-02-09,2024-02-09,-8.32,6
102885,2022-02-03,2022-03-29,-10.86,7
148567,2023-07-11,2023-10-20,-11.27,8
101206,2023-04-24,2023-07-05,-11.29,9
118635,2022-01-03,2022-06-09,-11.65,10
119552,2024-05-21,2024-09-02,-11.8,11
120504,2022-10-04,2023-05-30,-12.59,12
120843,2022-03-07,2022-04-13,-12.97,13
120503,2023-09-19,2023-11-09,-13.9,14
119092,2023-10-12,2025-02-07,-14.4,15
149322,2022-01-03,2022-02-04,-14.84,16
119551,2023-08-24,2024-02-05,-15.01,17
125497,2023-12-22,2025-01-01,-15.2,18
148568,2023-09-05,2024-01-24,-15.27,19
100033,2022-03-11,2022-05-12,-16.22,20
148569,2023-08-10,2023-10-20,-16.4,21
149323,2022-06-06,2022-10-24,-17.25,22
118632,2024-01-02,2024-07-19,-17.41,23
120841,2024-01-09,2025-02-14,-17.57,24
120505,2024-10-24,2025-01-23,-18.19,25
118633,2023-10-30,2024-02-29,-18.63,26
120506,2023-03-31,2023-08-14,-19.83,27
119094,2022-04-14,2022-08-11,-20.96,28
125498,2025-04-04,2025-09-12,-21.12,29
102887,2022-01-03,2022-07-04,-21.54,30
119093,2022-02-24,2023-05-22,-21.75,31
118634,2025-04-09,2026-02-20,-23.34,32
120842,2023-11-09,2024-10-17,-24.0,33
100016,2022-03-30,2022-09-15,-24.73,34
102886,2025-01-07,2026-04-27,-28.0,35
119598,2024-08-28,2025-05-14,-28.71,36
149324,2024-05-03,2025-01-03,-31.17,37
101207,2024-11-21,2026-05-11,-35.45,38
119095,2025-05-22,2026-05-11,-51.68,39
119599,2023-01-17,2025-10-28,-52.57,40
