amfi_code,Average_Return,Std_Deviation,Sharpe_Ratio,Rank
148567,0.1074,0.8941,1.4483,1
120843,0.1082,1.0008,1.3067,2
148569,0.1124,1.1134,1.2349,3
119551,0.0917,0.8656,1.2083,4
120505,0.1161,1.2152,1.1801,5
149323,0.1055,1.1179,1.1321,6
100033,0.108,1.1929,1.0937,7
118632,0.0865,0.8913,1.0817,8
101206,0.0852,0.9177,1.0272,9
120504,0.0843,0.9048,1.0265,10
119094,0.1027,1.2225,0.9982,11
119552,0.0785,0.8781,0.9533,12
149324,0.1194,1.5648,0.9498,13
119598,0.1201,1.5837,0.9453,14
148568,0.0825,0.9719,0.9263,15
102885,0.0674,0.8086,0.8171,16
120503,0.0698,0.8746,0.798,17
125497,0.071,0.9241,0.7758,18
118635,0.06,0.8179,0.6649,19
120506,0.065,0.9594,0.6489,20
118633,0.0616,0.8817,0.6452,21
102887,0.0645,0.9927,0.6195,22
120507,0.0268,0.0311,0.4957,23
120841,0.0522,0.8481,0.4943,24
149322,0.0522,0.9042,0.464,25
118634,0.0707,1.5901,0.4484,26
125498,0.0477,1.1561,0.3006,27
101207,0.0424,1.6251,0.1627,28
119093,0.033,0.8809,0.1296,29
120842,0.0312,1.1273,0.076,30
119092,0.0275,0.8788,0.0308,31
119599,0.0201,1.5717,-0.0572,32
119095,0.0182,1.579,-0.076,33
120844,0.0256,0.0323,-0.0887,34
100016,0.0142,0.9164,-0.2015,35
102886,0.011,1.1424,-0.2058,36
119120,0.0222,0.2499,-0.2266,37
118636,0.0202,0.2511,-0.3566,38
100025,0.017,0.246,-0.5671,39
101208,0.0242,0.0319,-0.8156,40
