scheme_name,VaR_95,CVaR_95
SBI Small Cap Fund - Direct Plan - Growth,-0.026859,-0.032384
Axis Small Cap Fund - Regular - Growth,-0.026188,-0.031667
ABSL Small Cap Fund - Regular - Growth,-0.026021,-0.032459
Nippon India Small Cap Fund - Regular - Growth,-0.025438,-0.032304
SBI Small Cap Fund - Regular Plan - Growth,-0.024507,-0.030595
DSP Small Cap Fund - Regular - Growth,-0.023483,-0.031036
UTI Mid Cap Fund - Regular - Growth,-0.01922,-0.023251
HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.019034,-0.023456
ICICI Pru Midcap Fund - Regular - Growth,-0.018892,-0.024342
Axis Midcap Fund - Regular - Growth,-0.01848,-0.02426
HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.018365,-0.023094
Kotak Emerging Equity Fund - Regular - Growth,-0.018219,-0.022725
DSP Midcap Fund - Regular - Growth,-0.017882,-0.022607
Mirae Asset Tax Saver Fund - Regular - Growth,-0.017118,-0.021328
UTI Flexi Cap Fund - Regular - Growth,-0.015232,-0.019411
Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.014712,-0.018765
HDFC Top 100 Fund - Direct Plan - Growth,-0.014592,-0.01831
Kotak Flexicap Fund - Regular - Growth,-0.014508,-0.018381
DSP Top 100 Equity Fund - Regular - Growth,-0.014474,-0.018402
ICICI Pru Value Discovery Fund - Regular - Growth,-0.014388,-0.019405
HDFC Top 100 Fund - Regular Plan - Growth,-0.014364,-0.01806
Axis Bluechip Fund - Direct - Growth,-0.014226,-0.017487
Nippon India Large Cap Fund - Regular - Growth,-0.013954,-0.017619
Axis Bluechip Fund - Regular - Growth,-0.01375,-0.017328
ICICI Pru Bluechip Fund - Direct - Growth,-0.013728,-0.017494
Mirae Asset Large Cap Fund - Regular - Growth,-0.01356,-0.017623
ICICI Pru Bluechip Fund - Regular - Growth,-0.01355,-0.017451
SBI Bluechip Fund - Direct Plan - Growth,-0.013501,-0.017336
Nippon India Large Cap Fund - Direct - Growth,-0.013443,-0.01663
ABSL Frontline Equity Fund - Regular - Growth,-0.013282,-0.017439
Kotak Bluechip Fund - Regular - Growth,-0.013142,-0.016363
SBI Bluechip Fund - Regular Plan - Growth,-0.012846,-0.016397
UTI Nifty 50 Index Fund - Regular - Growth,-0.012613,-0.01549
Nippon India ETF Nifty 50 BeES,-0.012554,-0.016177
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.003938,-0.005014
Nippon India Gilt Securities Fund - Regular - Growth,-0.003804,-0.004919
HDFC Short Term Debt Fund - Regular - Growth,-0.003793,-0.004994
Kotak Liquid Fund - Regular - Growth,-0.000285,-0.000411
ABSL Liquid Fund - Regular - Growth,-0.000269,-0.000422
ICICI Pru Liquid Fund - Regular - Growth,-0.000222,-0.000373
